OBJECTID,Name,Layer,Average housing prices,School density,Distance away from the CBD,Technology companies,Commercial building density,Medical institution density,Road density,Financial institution density,Retail store density,Park density
167,Wanshou Road sub district,neighborhood,102156.0228,5.41,15.97,20,23.55,20.96,13.8,12.62,19.05,6.8
133,Wang Ping regional office,neighborhood,21317.50897,0.06,42.81,0,0.25,0.17,2.34,0.06,1.17,0.4
297,Wangsiying Regional Office,neighborhood,53510.62816,1.18,6.53,4,8.13,4.72,8.99,1.61,6.39,6.8
93,Wangxinzhuang town,neighborhood,31511.19595,0.27,61.64,0,0.32,0.57,1.02,0.24,1.63,0.3
186,Wangzuo town,neighborhood,36067.45719,0.42,31.3,0,0.81,1.17,6.09,0.27,0.85,3
69,Wangquan sub district,neighborhood,32718.58176,1.84,26.62,7,4.27,8.61,7.37,3.17,8.54,4.4
284,Wangjing sub district,neighborhood,72889.816,9.73,8.8,37,19.05,30.11,16.98,14.03,18.43,18.4
304,Wangjing Kaifa sub district,neighborhood,83176.42297,6.9,11.02,21,23.08,17.84,16.08,15.47,16.66,21.4
250,Weishanzhuang town,neighborhood,30115.09321,0.21,29.65,0,0.37,0.72,6.7,0.16,1.5,1.4
158,Hot spring Regional Office,neighborhood,49840.70497,1.18,28.57,18,3.78,1.93,8.38,0.63,3.26,4.5
75,Wulituo sub district,neighborhood,47055.31363,0.53,27.81,1,1.52,0.94,6.91,0.2,2.62,1.6
159,Northwest Wang District Office,neighborhood,71664.42564,0.98,25.47,49,4.34,2.06,8.08,0.75,2.63,2.6
265,Xihongmen Regional Office,neighborhood,39691.27687,1.63,17.89,8,4.93,5.2,9.07,1.9,6.09,7.1
47,Xiji town,neighborhood,34162.36857,0.2,35.65,2,0.2,0.36,2.89,0.14,1.91,1.2
211,Xilu sub district,neighborhood,30398.17601,2.95,35.47,2,8.4,12.73,6.93,5.54,15.69,5.5
188,Xiluoyuan sub district,neighborhood,57757.55234,9.44,9.42,1,30.77,24.48,13.48,13.29,34.62,14
164,Xisanqi sub district,neighborhood,66590.57897,5.6,18.47,13,20.05,14.11,8.02,4.31,21.92,10.5
116,Hetian Gezhuang town,neighborhood,26825.35603,0.06,64.24,2,0.15,0.22,1.77,0.09,0.83,0.1
20,West Chang'an Street sub district,neighborhood,138442.4012,3.52,7.23,2,19,12.44,17.26,11.26,21.59,9.4
106,Xiwengzhuang town,neighborhood,21029.37264,0.13,72.08,2,0.23,0.22,1.48,0.09,0.63,0.6
226,Xiayunling Township,neighborhood,20211.4151,0.01,67.25,0,0,0.04,1.19,0,0.2,0.2
96,Xiagezhuang town,neighborhood,29459.10309,0.18,64.91,1,0.26,0.41,2.93,0.12,1.06,0.5
273,Xiangheyuan Subdistrict ,neighborhood,78833.56486,10.74,6.35,7,29.95,34.48,17.19,20.91,66.12,17
163,Xiangshan sub district,neighborhood,66227.05187,0.49,24.96,0,1.68,1.58,10.9,0.44,2.22,5.9
7,Perfume garden sub district,neighborhood,24108.20696,4.21,74.74,2,12.62,19.84,11.33,19.24,54.11,15
6,Xiangying Township,neighborhood,21281.13131,0.01,84.72,0,0.02,0.05,0.65,0.02,0.46,0.2
206,Xiangyang sub district,neighborhood,18618.37415,0.13,48.1,1,0.85,0.26,4.89,0.33,1.3,1.3
288,Xiaoguan sub district,neighborhood,80991.77561,16.88,9.07,18,42.39,28.26,15.33,18.06,31.79,15.7
287,Xiaohongmen Regional Office,neighborhood,52152.10923,1.59,9.21,2,5.71,5.45,6.3,1.76,7.13,5.9
317,Xiaotangshan Town,neighborhood,42750.22482,0.44,28.95,3,1.66,1.44,5.13,0.17,1.52,0.9
114,Xinchengzi town,neighborhood,26328.59168,0.03,111.24,0,0.03,0.05,0.52,0.04,0.37,0.1
199,Xincun sub district,neighborhood,55098.74025,5.32,16.51,82,37.02,17.44,9.97,13.96,18.47,8.1
36,Xinhua sub district,neighborhood,44011.45392,0.95,16.41,6,17.17,6.2,14.45,12.88,29.58,14.3
29,Xinjiekou sub district,neighborhood,130329.7963,14.08,9.23,8,44.73,31.48,19.86,21.81,53.02,8.3
220,Xinzhen sub district,neighborhood,22866.04354,2.09,40.07,0,3.66,3.66,6.13,2.09,5.75,5.2
222,Xingcheng sub district,neighborhood,26898.11837,3.19,41.05,0,6.38,11.69,13.81,6.38,45.69,31.9
259,Xingfeng sub district,neighborhood,39740.14816,16.42,22.7,1,18.95,30.32,12.51,18.53,43.38,4.2
85,Xinggu sub district,neighborhood,29301.98976,2.65,62.1,4,4.78,10.89,4.75,3.56,13.54,3.1
325,Xingshou town,neighborhood,32244.92579,0.16,36.53,2,0.57,0.61,4.07,0.05,1.12,0.5
95,Xiong'erzhai Township,neighborhood,29773.91834,0.02,71.8,0,0.02,0.07,0.6,0.02,0.41,0.2
166,Xueyuan Road sub district,neighborhood,92438.30607,30.29,13.9,61,27.82,12.33,18.49,7.98,19.72,18.8
282,Asian Games Village sub district,neighborhood,79742.97468,6.13,10.42,31,26.07,19.75,18.05,18.6,22.24,13.4
14,Yanqing town,neighborhood,21330.60773,1.02,75.91,7,2.08,2.96,5.07,1.78,7.07,3.7
327,Yanshou town,neighborhood,33620.85677,0.02,47.33,0,0.03,0.09,0.55,0.05,0.35,0.1
218,Yancun town,neighborhood,27618.57201,1.11,39.78,4,1.91,2.42,6.59,0.67,3.09,1.5
124,Yanji town,neighborhood,22949.88909,0.02,55.14,0,0.02,0.01,1.26,0.02,0.22,0
140,Yanqi Regional Office,neighborhood,35253.98109,0.08,62.63,0,0.29,0.26,1.76,0.07,0.62,0.5
174,Yanyuan Subdistrict ,neighborhood,116370.1571,88.91,16.41,15,32.33,6.18,18.86,13.31,12.84,9.5
161,Yangfangdian sub district,neighborhood,94884.57902,4.58,12.99,20,31.92,21.23,15,18.17,29.93,10.7
316,Yangfang town,neighborhood,35696.78058,0.3,38.76,5,0.39,0.94,6.83,0.15,1.28,1
147,Yangsong town,neighborhood,34493.86974,0.48,45.27,2,1.31,1.44,4.4,0.29,2.53,1.6
50,Yangzhen District Office,neighborhood,26913.30742,0.15,40.61,1,0.35,0.59,1.88,0.17,1.86,0.7
256,Yizhuang Regional Office,neighborhood,52809.3255,1.45,13.33,10,7.63,4.93,7.8,1.51,6.32,2.6
216,Yingfeng sub district,neighborhood,20521.73701,1.53,47.31,0,3.31,5.34,5.62,2.67,8.52,7.6
247,Yinghai Regional Office,neighborhood,48268.48558,0.82,17.67,3,3.16,2.07,5.9,0.82,3.05,2.7
132,Yongding Regional Office,neighborhood,33264.18355,0.44,35.4,8,2.05,1.41,5.06,0.61,2.65,3.5
171,Yongding Road sub district,neighborhood,85475.48901,1.94,17.21,0,18.11,33.63,5.84,6.47,49.79,6.5
245,Yongdingmenwai sub district,neighborhood,75165.01871,8.55,7.6,4,26.55,15.04,14.85,8.26,42.48,29.5
38,Yongledian town,neighborhood,27523.71348,0.16,39.15,3,0.19,0.46,2.93,0.13,1.28,1
8,Yongning Town,neighborhood,27729.96926,0.04,70.58,0,0.1,0.26,0.76,0.08,0.75,0.2
43,Yongshun Regional Office,neighborhood,42364.71614,2.46,16.71,12,8.45,7.91,8.83,1.83,8.03,6.9
197,YouAnMen sub district,neighborhood,69301.21617,10.89,10.18,8,25.12,18.16,20.54,16.04,32.99,12.1
34,Yujiajia Hui nationality township,neighborhood,29681.44457,0.21,31.84,0,0.52,0.29,3.36,0.18,1.66,0.9
86,Yuyang District Office,neighborhood,30672.75722,1.99,58.11,1,1.94,3.56,4.88,2.46,5.87,3.1
248,Yulong town,neighborhood,32814.86718,0.2,47.01,1,0.38,0.3,5.98,0.15,0.91,0.4
45,Yuqiao sub district,neighborhood,44913.7937,6.55,18.24,2,16.19,16.74,10.04,6.37,26.92,18.2
83,Yukou District Office,neighborhood,26601.71172,0.3,53.9,1,0.17,0.5,1.23,0.11,1.24,0.3
21,Yuetan sub district,neighborhood,137651.57,11.19,10.42,5,46.47,28.22,13.86,34.79,55.23,9.7
196,Yungang sub district,neighborhood,41737.23331,1.52,28.72,0,4.15,4.01,8.65,2.21,6.08,1.4
129,Zhaitang town,neighborhood,19262.42762,0.02,66.13,0,0.01,0.02,1.28,0.01,0.21,0
22,Zhanzhan road sub district,neighborhood,121847.6317,8.64,10.75,32,47.9,25.93,16.03,36.2,35.3,41.4
225,Zhangfang town,neighborhood,22336.55571,0.08,71.09,1,0.05,0.28,1.76,0.04,0.39,0.1
35,Zhangjiawan Town,neighborhood,42611.80992,0.48,23.39,11,0.71,1.02,3.88,0.23,2.56,1.8
16,Zhangshanying town,neighborhood,18424.1386,0.04,85.52,0,0.1,0.06,1.45,0.03,0.43,0.2
65,Zhangzhen,neighborhood,21095.95706,0.13,47.61,1,0.39,0.67,1.81,0.13,2.6,0.2
221,Changgou ,neighborhood,30203.78943,0.23,62.72,0,0.33,1,5.66,0.18,1.44,1.5
150,Changshaoying Manchu Township,neighborhood,22223.51461,0,104.46,0,0.01,0.02,0.74,0.01,0.2,0
191,Changxindian sub district,neighborhood,36528.43874,2.85,25.06,0,5.51,3.67,9.47,1.93,6.61,5.5
198,Changxindian town,neighborhood,41174.52005,0.35,26.75,5,1.51,1.06,7.76,0.56,1.62,2.4
212,Changyang town,neighborhood,38373.90321,0.97,29.05,5,2.21,2.38,7.03,0.59,2.27,2
258,Changziying town,neighborhood,30176.65306,0.23,28.84,3,0.38,0.57,5.52,0.12,2.29,0.8
56,Zhaoquanying town,neighborhood,39080.63959,0.14,35,7,0.82,0.9,2.12,0.16,1.79,0.5
4,Pearl Spring Township,neighborhood,35428.82404,0.03,78.12,0,0.01,0.01,0.3,0.01,0.28,0.1
94,Zhenluoying town,neighborhood,29532.19721,0.1,76.82,0,0.09,0.14,0.33,0.05,0.75,0.4
42,Zhongcang sub district,neighborhood,46467.10481,7.05,17.59,4,20.07,21.57,11.15,11.53,31.17,8.5
266,Zhongguancun National Independent Innovation Demonstration Zone Daxing bio pharmaceutical industry,neighborhood,31141.29749,0.29,29.34,11,4.67,5.84,8.91,1.61,3.36,5.8
179,Zhongguancun sub district,neighborhood,126851.0697,12.85,14.11,167,44.02,30.23,17.64,23.05,48.94,15.1
208,Zhoukoudian Regional Office,neighborhood,19502.52892,0.17,54.42,1,0.23,0.43,2.64,0.07,0.61,0.4
177,Zizhuyuan Subdistrict ,neighborhood,100827.8911,24.49,14.08,79,38.41,18.57,13.98,14.25,22.73,16
278,Zuojiazhuang sub district,neighborhood,78246.61019,10.56,5.28,17,41.35,31.09,16.67,41.35,32.6,27.2
